ClientID,LastName,FirstName,Gender,Race,DOB
C00269,Last268,First268,F,Asian,2007-05-31
C00270,Last269,First269,F,Hispanic,2009-10-28
C00271,Last270,First270,M,Other,2010-01-24
C00272,Last271,First271,F,Other,2007-07-25
C00273,Last272,First272,M,Other,2009-08-22
C00274,Last273,First273,F,Hispanic,2008-10-20
C00275,Last274,First274,F,White,
C00276,Last275,First275,M,Black,2009-06-22
C00277,Last276,First276,M,Hispanic,2009-08-31
C00278,Last277,First277,M,Black,2006-01-25
C00279,Last278,First278,M,Hispanic,2008-07-04
C00280,Last279,First279,F,Black,2009-10-15
C00281,Last280,First280,M,Hispanic,2008-07-04
C00282,Last281,First281,F,White,2007-11-11
C00283,Last282,First282,F,Other,2009-03-14
C00284,Last283,First283,F,Black,2006-09-18
C00285,Last284,First284,M,Hispanic,2010-04-27
C00286,Last285,First285,F,White,2005-10-02
C00287,Last286,First286,M,White,2006-01-09
C00288,Last287,First287,F,Other,2005-12-16
C00289,Last288,First288,M,Hispanic,2006-01-17
C00290,Last289,First289,F,Black,2009-11-04
C00291,Last290,First290,M,Asian,2006-01-31
C00292,Last291,First291,F,White,2009-03-07
C00293,Last292,First292,M,White,2006-06-17
C00294,Last293,First293,M,Other,2005-09-03
C00295,Last294,First294,F,Hispanic,2008-09-12
C00296,Last295,First295,F,Asian,2006-05-16
C00297,Last296,First296,F,Asian,2009-08-10
C00298,Last297,First297,F,Asian,2008-12-19
C00299,Last298,First298,M,Hispanic,2009-09-29
C00300,Last299,First299,F,Black,2005-07-30
C00301,Last300,First300,M,White,2008-03-24
C00302,Last301,First301,M,Hispanic,2008-07-03
C00303,Last302,First302,F,Asian,2008-12-11
C00304,Last303,First303,F,White,2006-03-01
C00305,Last304,First304,F,White,2010-09-10
C00306,Last305,First305,M,Asian,
C00307,Last306,First306,M,Asian,2006-09-26
C00308,Last307,First307,F,White,2010-05-30
C00309,Last308,First308,M,Other,2007-07-08
C00310,Last309,First309,F,White,2006-03-20
C00311,Last310,First310,M,Black,2008-12-05
C00312,Last311,First311,M,Black,2009-02-14
C00313,Last312,First312,F,Other,2006-04-16
C00314,Last313,First313,M,Hispanic,2008-02-16
C00315,Last314,First314,M,White,2007-07-16
C00316,Last315,First315,M,Black,2009-10-24
C00317,Last316,First316,M,White,2005-04-18
C00318,Last317,First317,M,Other,2008-01-01
C00319,Last318,First318,M,Asian,2005-04-29
C00320,Last319,First319,F,Other,2007-01-09
C00321,Last320,First320,F,Other,2008-01-25
C00322,Last321,First321,M,Other,2008-06-19
C00323,Last322,First322,M,Black,2008-10-23
C00324,Last323,First323,F,Other,2008-12-08
C00325,Last324,First324,F,Asian,2005-01-26
C00326,Last325,First325,F,Asian,2007-01-14
C00327,Last326,First326,M,Asian,2006-08-10
C00328,Last327,First327,F,Hispanic,2009-06-30
C00329,Last328,First328,M,Other,2005-10-13
C00330,Last329,First329,M,Asian,2006-08-05
C00331,Last330,First330,F,Hispanic,2005-05-06
C00332,Last331,First331,M,Other,2006-01-11
C00333,Last332,First332,M,Other,2010-12-13
C00334,Last333,First333,F,White,2007-06-01
C00335,Last334,First334,M,Other,2009-03-21
C00336,Last335,First335,F,White,2009-09-16
C00337,Last336,First336,M,Black,2010-02-02
C00338,Last337,First337,F,Black,2008-10-28
C00339,Last338,First338,F,Hispanic,2006-10-07
C00340,Last339,First339,M,White,2009-02-24
C00341,Last340,First340,F,Black,2008-06-30
C00342,Last341,First341,M,Black,2008-08-21
C00343,Last342,First342,M,Black,2005-12-14
C00344,Last343,First343,F,Other,2005-08-04
C00345,Last344,First344,M,White,2006-09-30
C00346,Last345,First345,M,Black,2006-10-07
C00347,Last346,First346,M,White,2005-07-23
C00348,Last347,First347,F,Asian,2005-12-01
C00349,Last348,First348,F,Asian,2008-01-20
C00350,Last349,First349,M,Other,2009-12-20
C00351,Last350,First350,M,Asian,2009-10-03
C00352,Last351,First351,F,Hispanic,2010-06-13
C00353,Last352,First352,F,White,2009-12-16
C00354,Last353,First353,M,Black,2009-08-24
C00355,Last354,First354,F,Hispanic,2008-01-24
C00356,Last355,First355,M,Hispanic,2007-06-02
C00357,Last356,First356,F,Asian,2010-09-30
C00358,Last357,First357,M,White,2006-04-12
C00359,Last358,First358,M,Black,2008-11-14
C00360,Last359,First359,M,Hispanic,2009-10-27
C00361,Last360,First360,M,Other,2006-03-31
C00362,Last361,First361,M,Black,2008-03-06
C00363,Last362,First362,M,Asian,2010-06-17
C00364,Last363,First363,M,White,2010-11-29
C00365,Last364,First364,M,Other,2008-06-17
C00366,Last365,First365,M,Black,2005-07-06
C00367,Last366,First366,F,Black,2007-06-23
C00368,Last367,First367,M,Hispanic,2009-06-07
C00369,Last368,First368,F,Black,2005-08-13
C00370,Last369,First369,M,White,2005-02-01
C00371,Last370,First370,F,White,2007-04-18
C00372,Last371,First371,M,Black,2008-05-19
C00373,Last372,First372,F,Hispanic,2007-05-16
C00374,Last373,First373,M,Other,2006-07-17
C00375,Last374,First374,M,Other,2007-11-13
C00376,Last375,First375,M,Hispanic,2008-03-31
C00377,Last376,First376,F,Asian,2008-09-05
C00378,Last377,First377,F,White,2006-05-07
C00379,Last378,First378,M,Asian,2005-02-01
C00380,Last379,First379,M,Hispanic,2010-07-31
C00381,Last380,First380,F,Asian,2009-10-30
C00382,Last381,First381,F,Hispanic,2006-12-21
C00383,Last382,First382,F,Other,2006-06-14
C00384,Last383,First383,M,Other,2009-04-07
C00385,Last384,First384,F,Asian,2010-12-22
C00386,Last385,First385,M,Asian,2007-08-01
C00387,Last386,First386,M,White,2010-08-12
C00388,Last387,First387,M,Other,2008-12-21
C00389,Last388,First388,M,White,2005-10-23
C00390,Last389,First389,M,Asian,2009-06-15
C00391,Last390,First390,F,Hispanic,2005-06-23
C00392,Last391,First391,F,Other,2009-11-22
C00393,Last392,First392,M,Hispanic,2005-03-18
C00394,Last393,First393,M,White,2010-02-27
C00395,Last394,First394,F,White,2005-11-15
C00396,Last395,First395,M,Black,2008-07-06
C00397,Last396,First396,F,Other,2009-10-25
C00398,Last397,First397,F,Other,2009-07-15
C00399,Last398,First398,F,White,2009-09-07
C00400,Last399,First399,F,Hispanic,2008-03-31
C00401,Last400,First400,F,Other,2006-04-17
C00402,Last401,First401,M,White,2009-07-18
C00403,Last402,First402,M,Black,2005-03-27
C00404,Last403,First403,F,Asian,2008-08-23
C00405,Last404,First404,M,Other,2006-12-05
C00406,Last405,First405,M,Asian,2010-02-28
C00407,Last406,First406,F,Hispanic,2009-01-22
C00408,Last407,First407,M,Black,2005-12-27
C00409,Last408,First408,F,Other,2009-11-24
C00410,Last409,First409,M,Asian,2006-03-10
C00411,Last410,First410,M,Asian,2007-09-24
C00412,Last411,First411,M,White,2009-11-20
C00413,Last412,First412,M,Asian,2009-06-29
C00414,Last413,First413,F,Hispanic,2010-11-17
C00415,Last414,First414,F,Asian,2005-11-19
C00416,Last415,First415,M,Hispanic,2009-06-10
C00417,Last416,First416,M,Hispanic,2008-06-24
C00418,Last417,First417,M,White,2008-10-22
C00419,Last418,First418,F,Black,2007-06-27
C00420,Last419,First419,F,Hispanic,2008-09-26
C00421,Last420,First420,M,Asian,2006-11-20
C00422,Last421,First421,F,Asian,2005-11-09
C00423,Last422,First422,M,Hispanic,2010-09-22
C00424,Last423,First423,M,Asian,2006-04-13
C00425,Last424,First424,M,Other,2010-12-14
C00426,Last425,First425,M,White,2010-09-20
C00427,Last426,First426,M,Asian,2007-03-06
C00428,Last427,First427,M,White,2008-12-02
C00429,Last428,First428,F,Hispanic,2008-12-09
C00430,Last429,First429,M,Hispanic,2006-08-28
C00431,Last430,First430,F,Hispanic,2007-08-26
C00432,Last431,First431,M,White,2006-02-26
C00433,Last432,First432,M,Asian,2006-08-23
C00434,Last433,First433,M,Other,2007-11-15
C00435,Last434,First434,M,White,2007-03-20
C00436,Last435,First435,F,Other,2006-12-12
C00437,Last436,First436,F,Asian,2006-09-19
C00438,Last437,First437,M,Asian,2005-11-05
C00439,Last438,First438,M,White,2006-12-27
C00440,Last439,First439,M,Black,2010-07-17
C00441,Last440,First440,F,Other,2010-03-16
C00442,Last441,First441,M,Hispanic,2010-01-13
C00443,Last442,First442,M,Other,2008-08-16
C00444,Last443,First443,M,Asian,2008-07-18
C00445,Last444,First444,M,Asian,2006-09-11
C00446,Last445,First445,F,White,2009-12-07
C00447,Last446,First446,F,Black,2005-10-07
C00448,Last447,First447,M,Hispanic,2010-04-05
C00449,Last448,First448,M,Other,2009-12-17
C00450,Last449,First449,F,Black,2008-05-25
C00451,Last450,First450,F,Hispanic,2008-01-31
C00452,Last451,First451,M,Asian,2005-08-19
C00453,Last452,First452,M,Asian,2008-12-12
C00454,Last453,First453,M,White,2010-09-10
C00455,Last454,First454,M,White,2005-10-31
C00456,Last455,First455,F,Other,2008-06-25
C00457,Last456,First456,F,Black,2010-03-07
C00458,Last457,First457,F,Black,2010-01-26
C00459,Last458,First458,M,Hispanic,2005-06-04
C00460,Last459,First459,M,Other,2005-08-22
C00461,Last460,First460,M,White,2009-02-19
C00462,Last461,First461,M,Other,2008-03-21
C00463,Last462,First462,F,Asian,2005-11-11
C00464,Last463,First463,M,White,2006-01-05
C00465,Last464,First464,M,Black,2010-09-08
C00466,Last465,First465,M,White,2009-04-24
C00467,Last466,First466,F,Asian,2010-03-11
C00468,Last467,First467,M,White,2005-06-18
C00469,Last468,First468,M,Black,2010-01-17
C00470,Last469,First469,M,Asian,2007-02-11
C00471,Last470,First470,M,Hispanic,
C00472,Last471,First471,M,Other,2010-05-03
C00473,Last472,First472,F,Hispanic,2010-08-16
C00474,Last473,First473,F,Asian,2006-09-10
C00475,Last474,First474,F,Asian,2005-09-11
C00476,Last475,First475,M,Asian,2010-01-20
C00477,Last476,First476,M,Black,
C00478,Last477,First477,F,Asian,2008-11-07
C00479,Last478,First478,F,Other,2005-12-12
C00480,Last479,First479,F,Black,2010-08-29
C00481,Last480,First480,M,Asian,2006-12-08
C00482,Last481,First481,M,Black,2005-06-10
C00483,Last482,First482,F,Other,2007-10-12
C00484,Last483,First483,M,Other,2009-11-29
C00485,Last484,First484,M,Black,2009-12-05
C00486,Last485,First485,M,White,2010-11-17
C00487,Last486,First486,F,Hispanic,2010-11-12
C00488,Last487,First487,M,Asian,2006-10-13
C00489,Last488,First488,F,Hispanic,2009-01-30
C00490,Last489,First489,F,Other,2009-03-08
C00491,Last490,First490,M,Hispanic,
C00492,Last491,First491,M,White,2009-05-06
C00493,Last492,First492,M,Hispanic,2009-08-02
C00494,Last493,First493,M,Hispanic,2008-10-17
C00495,Last494,First494,F,Other,2005-08-03
C00496,Last495,First495,F,Other,2008-10-02
C00497,Last496,First496,M,Asian,2005-09-27
C00498,Last497,First497,F,Black,2008-09-12
C00499,Last498,First498,M,Asian,2006-01-23
C00500,Last499,First499,M,Other,
C00041,Last500,First500,F,Asian,2008-03-09
C00008,Last501,First501,F,Hispanic,2007-10-30
C00002,Last502,First502,M,Hispanic,2006-09-08
C00048,Last503,First503,M,Other,2008-09-27
C00018,Last504,First504,F,Other,2005-11-30
